,event_date,year,month,day,country_code,latitude,longitude,witness,issue
10527,2021-09-05,2021,9,5,IT,40.96269,14.19231,Perparim Kadriaj;Ognyan Mikov;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10529,2022-06-21,2022,6,21,IT,45.36398,10.21194,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10530,2021-10-13,2021,10,13,ES,36.7148,-4.2363,Daniel Bravo-Barriga;Carlos Barceló;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10533,2021-09-26,2021,9,26,IT,45.57223,12.10035,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10535,2021-10-01,2021,10,1,ES,41.37888,2.13656,Sarah Delacour;Maria Angeles Puig;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10536,2022-08-18,2022,8,18,HU,47.39947,19.1814,Anonymous expert;Gábor Kemenesi;Eleonora Longo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10539,2022-08-19,2022,8,19,IT,43.61383,13.53272,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10541,2021-08-25,2021,8,25,IT,46.07246,13.23607,Mihaela Kavran;Elton Rogozi;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10543,2022-04-02,2022,4,2,ES,41.38929,2.13856,Sarah Delacour;Sergio Magallanes;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10544,2022-06-07,2022,6,7,ES,39.2586,-0.84929,Pedro María Alarcón-Elbal;Mikel Alexander González;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10545,2021-10-21,2021,10,21,IT,45.45164,12.44689,UNIROMA1;Hans-Peter Fuehrer;Ognyan Mikov;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10547,2022-09-26,2022,9,26,HU,47.42161,19.12166,Kornélia Kurucz;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10552,2022-06-23,2022,6,23,IT,41.46523,12.91832,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10553,2021-10-23,2021,10,23,ES,36.93934,-1.93649,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10556,2022-08-01,2022,8,1,IT,41.98639,12.08271,UNIROMA1;Eleonora Longo;Francesco Severini;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10560,2022-12-05,2022,12,5,ES,37.40737,-5.93085,Mikel Bengoa Paulis;Carlos Barceló;Isis Sanpera-Calbet;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10562,2022-08-04,2022,8,4,IT,44.51864,11.33167,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10564,2021-06-26,2021,6,26,ES,42.24404,0.96577,Ignacio Ruiz-Arrondo;Sarah Delacour;Martina Ferraguti;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10565,2021-09-14,2021,9,14,HU,47.44881,19.16215,Roger Eritja;Kornélia Kurucz;Gábor Kemenesi;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10567,2021-06-06,2021,6,6,ES,42.01829,3.00821,Isis Sanpera-Calbet;Laura Blanco-Sierra;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10569,2022-07-31,2022,7,31,IT,45.98445,13.00532,UNIROMA1;Eleonora Longo;Francesco Severini;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10570,2021-09-13,2021,9,13,HU,47.44932,19.02028,Roger Eritja;Kornélia Kurucz;Gábor Kemenesi;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10573,2022-08-02,2022,8,2,IT,46.22294,9.44921,UNIROMA1;Eleonora Longo;Francesco Severini;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10577,2021-10-10,2021,10,10,ES,38.71621,1.45493,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10578,2021-10-18,2021,10,18,ES,41.42998,2.09329,Mikel Bengoa Paulis;Maria Angeles Puig;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10583,2021-10-21,2021,10,21,ES,41.57014,2.25592,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10584,2020-09-21,2020,9,21,ES,39.31926,2.9936,Sarah Delacour;Carlos Barceló;Laura Blanco-Sierra;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10585,2022-09-24,2022,9,24,IT,44.51411,11.34357,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10587,2021-10-02,2021,10,2,ES,41.62619,2.16671,Sarah Delacour;Maria Angeles Puig;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10588,2022-10-02,2022,10,2,HU,47.41827,19.08444,Kornélia Kurucz;Gábor Kemenesi;Anonymous expert;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10590,2022-07-10,2022,7,10,MK,42.00354,21.37564,Nikolina Sokolovska;Eleonora Longo;Elton Rogozi;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10591,2021-10-02,2021,10,2,ES,37.68199,-1.11788,Sarah Delacour;Maria Angeles Puig;Daniel Bravo-Barriga;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10593,2020-07-27,2020,7,27,ES,41.55526,2.10497,Maria Angeles Puig;Francisco Collantes;Laura Blanco-Sierra;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10595,2021-09-26,2021,9,26,ES,36.73772,-4.48708,Mikel Bengoa Paulis;Sarah Delacour;Mikel Alexander González;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10598,2021-10-23,2021,10,23,IT,43.79307,7.60595,UNIROMA1;Hans-Peter Fuehrer;Ognyan Mikov;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10604,2021-10-01,2021,10,1,ES,36.42744,-5.1418,Sarah Delacour;Maria Angeles Puig;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10605,2022-09-28,2022,9,28,RS,44.67681,20.60805,Mihaela Kavran;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10606,2022-08-13,2022,8,13,ES,41.68262,2.47957,Simone Mariani;Roger Eritja;Isis Sanpera-Calbet;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10607,2021-07-29,2021,7,29,FR,44.21871,4.47978,Karin Bakran-Lebl;Maria Sophia Unterköfler;Mihaela Kavran;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10609,2022-08-03,2022,8,3,IT,40.90105,14.19569,UNIROMA1;Eleonora Longo;Francesco Severini;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10610,2022-08-13,2022,8,13,HU,47.39948,19.18132,Kornélia Kurucz;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10611,2022-07-16,2022,7,16,IT,40.61421,16.14595,UNIROMA1;Eleonora Longo;Francesco Severini;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10612,2021-12-03,2021,12,3,IN,18.65288,73.79036,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10615,2021-10-16,2021,10,16,ES,42.17405,2.82128,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10616,2022-06-20,2022,6,20,IT,43.88547,12.87546,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10620,2022-06-25,2022,6,25,IT,41.09901,16.85087,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10621,2022-10-18,2022,10,18,IT,43.78049,11.23563,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10625,2022-05-21,2022,5,21,ES,39.87215,-0.40648,Sergio Magallanes;Martina Ferraguti;Simone Mariani;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10631,2022-09-06,2022,9,6,HU,47.46154,18.95851,Gábor Kemenesi;Kornélia Kurucz;Eleonora Longo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10632,2021-10-21,2021,10,21,IT,43.55553,12.11895,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10634,2022-10-25,2022,10,25,IT,41.90109,12.68494,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10635,2022-09-06,2022,9,6,HU,47.3459,19.08766,Gábor Kemenesi;Kornélia Kurucz;Eleonora Longo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10639,2021-09-26,2021,9,26,HU,47.51771,19.02288,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10640,2021-10-26,2021,10,26,IT,41.79478,12.44263,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10641,2020-08-30,2020,8,30,ES,41.53758,2.42879,Isis Sanpera-Calbet;Ignacio Ruiz-Arrondo;Laura Blanco-Sierra;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10642,2022-08-06,2022,8,6,IT,45.4334,12.36016,UNIROMA1;Eleonora Longo;Francesco Severini;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10644,2021-10-07,2021,10,7,ES,37.88395,-0.76472,Maria Angeles Puig;Sarah Delacour;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10646,2022-10-10,2022,10,10,IT,43.87225,10.57207,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10647,2022-06-02,2022,6,2,IT,43.76617,11.27977,UNIROMA1;Ognyan Mikov;Karin Bakran-Lebl;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10648,2022-09-05,2022,9,5,HU,47.41078,19.01875,Gábor Kemenesi;Kornélia Kurucz;Mihaela Kavran;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10653,2021-10-01,2021,10,1,ES,38.90577,-0.42178,Sarah Delacour;Maria Angeles Puig;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10657,2022-05-17,2022,5,17,IT,45.59335,9.01473,UNIROMA1;Elton Rogozi;Mihaela Kavran;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10658,2022-09-08,2022,9,8,HU,47.47356,19.04228,Gábor Kemenesi;Kornélia Kurucz;Mihaela Kavran;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10659,2022-10-26,2022,10,26,IT,41.81708,12.93813,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10661,2022-05-17,2022,5,17,ES,39.18867,-0.4397,Isis Sanpera-Calbet;Sergio Magallanes;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10665,2021-09-21,2021,9,21,ES,41.72914,2.56299,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10667,2022-06-07,2022,6,7,ES,41.67764,2.7849,Pedro María Alarcón-Elbal;Mikel Alexander González;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10671,2022-10-06,2022,10,6,IT,41.89783,12.47727,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10672,2022-06-23,2022,6,23,HU,47.41589,19.00415,Kornélia Kurucz;Anonymous expert;Gábor Kemenesi;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10674,2020-09-18,2020,9,18,ES,41.45533,2.25438,Simone Mariani;Laura Blanco-Sierra;Sergio Magallanes;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10676,2022-08-18,2022,8,18,IT,42.12815,14.70334,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10678,2021-08-28,2021,8,28,IT,39.2881,16.33846,Ana Klobucar;Maria Sophia Unterköfler;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10679,2021-08-04,2021,8,4,HU,47.43953,19.11142,Mihaela Kavran;Karin Bakran-Lebl;Kornélia Kurucz;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10681,2021-08-14,2021,8,14,HU,47.44818,19.12757,UNIROMA1;Karin Bakran-Lebl;Roger Eritja;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10682,2022-09-07,2022,9,7,ES,41.38184,2.13744,Ignacio Ruiz-Arrondo;Isis Sanpera-Calbet;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10685,2021-09-18,2021,9,18,ES,37.83599,-0.79999,Laura Blanco-Sierra;Isis Sanpera-Calbet;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10687,2021-07-30,2021,7,30,GR,38.04639,23.79339,Hans-Peter Fuehrer;Mihaela Kavran;Antonios Michaelakis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10689,2022-09-16,2022,9,16,IT,45.87105,11.07216,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10691,2022-06-30,2022,6,30,ES,41.69528,2.49836,Ignacio Ruiz-Arrondo;Sarah Delacour;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10692,2021-10-31,2021,10,31,IT,37.49664,15.05058,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10696,2021-09-22,2021,9,22,ES,41.35182,2.02576,Ignacio Ruiz-Arrondo;Mikel Bengoa Paulis;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10697,2021-07-26,2021,7,26,BG,44.13037,26.94874,Karin Bakran-Lebl;Diego Parrondo Montón;Cintia Horváth;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10701,2022-08-14,2022,8,14,HU,47.54258,19.13233,Kornélia Kurucz;Anonymous expert;Gábor Kemenesi;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10704,2022-07-09,2022,7,9,IT,45.67308,13.11009,UNIROMA1;Eleonora Longo;Francesco Severini;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10707,2022-07-10,2022,7,10,IT,37.09594,15.12078,UNIROMA1;Eleonora Longo;Francesco Severini;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10709,2022-08-12,2022,8,12,ES,41.6822,2.47964,Simone Mariani;Isis Sanpera-Calbet;Roger Eritja;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10710,2022-09-15,2022,9,15,ES,41.68698,2.5191,Isis Sanpera-Calbet;Ignacio Ruiz-Arrondo;Sergio Magallanes;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10711,2022-10-17,2022,10,17,ES,37.40586,-5.92711,Mikel Bengoa Paulis;Sarah Delacour;Mikel Alexander González;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10712,2021-10-21,2021,10,21,IT,44.45044,9.02031,UNIROMA1;Hans-Peter Fuehrer;Roger Eritja;Ognyan Mikov,CONTINENT_DERIVED_FROM_COORDINATES
10715,2022-07-06,2022,7,6,GR,39.15111,23.46698,Mikel Alexander González;Mikel Bengoa Paulis;Pedro María Alarcón-Elbal;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10722,2022-06-24,2022,6,24,IT,45.22196,11.31559,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10725,2021-10-26,2021,10,26,IT,41.58508,12.65907,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10727,2022-05-18,2022,5,18,IT,45.49027,8.94388,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10728,2021-09-28,2021,9,28,ES,41.37184,2.12506,Mikel Bengoa Paulis;Mikel Alexander González;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10730,2021-10-19,2021,10,19,ES,37.14978,-3.56985,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10731,2022-10-11,2022,10,11,IT,45.72886,11.93968,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10734,2022-09-04,2022,9,4,HU,47.34645,19.10186,Gábor Kemenesi;Anonymous expert;Kornélia Kurucz;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10735,2022-08-19,2022,8,19,IT,44.41666,11.90325,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10736,2022-09-14,2022,9,14,IT,40.61417,16.14597,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10737,2022-06-25,2022,6,25,IT,45.44752,12.32241,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10740,2021-08-12,2021,8,12,BG,42.69594,23.31139,UNIROMA1;Isra Deblauwe;Ognyan Mikov;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10743,2022-06-22,2022,6,22,IT,40.58676,8.56908,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10746,2022-09-08,2022,9,8,AT,47.02721,15.45545,Karin Bakran-Lebl;Maria Sophia Unterköfler;Hans-Peter Fuehrer;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10747,2020-08-13,2020,8,13,ES,41.47218,2.06642,Simone Mariani;Sarah Delacour;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10748,2022-06-28,2022,6,28,IT,41.82453,12.46545,UNIROMA1;Mihaela Kavran;Eleonora Longo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10751,2022-10-15,2022,10,15,ES,37.96428,-1.60096,Mikel Bengoa Paulis;Sarah Delacour;Mikel Alexander González;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10753,2022-06-22,2022,6,22,IT,45.83241,12.77662,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10754,2021-09-24,2021,9,24,ES,41.53759,2.42888,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10755,2022-06-18,2022,6,18,IT,46.06398,13.25707,UNIROMA1;Diego Parrondo Montón;Ognyan Mikov;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10761,2021-10-03,2021,10,3,ES,41.21585,1.54957,Sarah Delacour;Maria Angeles Puig;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10762,2022-08-13,2022,8,13,IT,43.21712,13.29274,UNIROMA1;Eleonora Longo;Francesco Severini;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10763,2021-09-17,2021,9,17,ES,39.58579,2.65226,Laura Blanco-Sierra;Carlos Barceló;Isis Sanpera-Calbet;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10766,2022-06-24,2022,6,24,IT,45.51019,10.31728,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10769,2022-07-28,2022,7,28,AT,47.05246,15.45818,Maria Sophia Unterköfler;Hans-Peter Fuehrer;Karin Bakran-Lebl;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10770,2022-06-21,2022,6,21,IT,45.46973,11.62535,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10772,2022-06-08,2022,6,8,HU,47.44135,19.13317,Gábor Kemenesi;Maria Sophia Unterköfler;Perparim Kadriaj;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10775,2021-10-26,2021,10,26,IT,44.14243,11.98282,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
10776,2021-10-23,2021,10,23,IT,44.48734,11.36198,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10777,2022-07-08,2022,7,8,IT,44.51851,11.33354,UNIROMA1;Eleonora Longo;Francesco Severini;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10783,2020-07-19,2020,7,19,ES,36.66179,-4.54189,Maria Angeles Puig;Sarah Delacour;Daniel Bravo-Barriga;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10793,2018-10-15,2018,10,15,ES,41.47693,1.91803,Ignacio Ruiz-Arrondo;Sarah Delacour;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10796,2020-08-30,2020,8,30,ES,41.51884,2.23613,Laura Blanco-Sierra;Isis Sanpera-Calbet;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10797,2018-09-30,2018,9,30,ES,36.72213,-4.47054,Maria Angeles Puig;Pedro María Alarcón-Elbal;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10798,2019-10-02,2019,10,2,ES,36.77605,-4.10601,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Sarah Delacour;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10799,2019-06-12,2019,6,12,ES,41.44035,2.23589,Maria Angeles Puig;Ignacio Ruiz-Arrondo;Santi Escartin Peña;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10805,2021-08-11,2021,8,11,ES,38.60748,-0.07991,Simone Mariani;Martina Ferraguti;Roger Eritja;Isis Sanpera-Calbet,CONTINENT_DERIVED_FROM_COORDINATES
10808,2018-09-16,2018,9,16,ES,41.20916,1.67293,Maria Angeles Puig;Sarah Delacour;Rosario Melero-Alcíbar;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10809,2020-06-01,2020,6,1,ES,38.34151,-0.51357,Pedro María Alarcón-Elbal;Maria Angeles Puig;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10810,2020-11-01,2020,11,1,IT,41.07221,14.32705,Enkelejda Velo;Elton Rogozi;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10813,2021-07-20,2021,7,20,IT,43.24279,11.22293,Gábor Kemenesi;Mihaela Kavran;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10816,2021-09-04,2021,9,4,ES,41.69384,2.72823,Francisco Collantes;Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10817,2020-09-11,2020,9,11,ES,41.53755,2.42882,Carlos Barceló;Daniel Bravo-Barriga;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10818,2021-09-02,2021,9,2,ES,42.27441,2.95226,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10820,2018-07-15,2018,7,15,ES,41.63351,2.1708,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja;Sarah Delacour,CONTINENT_DERIVED_FROM_COORDINATES
10822,2021-08-01,2021,8,1,ES,41.5703,1.97774,Isis Sanpera-Calbet;Sarah Delacour;Laura Blanco-Sierra;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10823,2021-05-31,2021,5,31,ES,39.6536,2.7738,Carlos Barceló;Laura Blanco-Sierra;Isis Sanpera-Calbet;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10824,2018-06-24,2018,6,24,ES,41.26931,2.01712,Santi Escartin Peña;Sarah Delacour;Roger Eritja;Ignacio Ruiz-Arrondo,CONTINENT_DERIVED_FROM_COORDINATES
10825,2018-10-16,2018,10,16,ES,42.05054,2.25611,Ignacio Ruiz-Arrondo;Sarah Delacour;Roger Eritja;Mikel Bengoa Paulis,CONTINENT_DERIVED_FROM_COORDINATES
10826,2021-06-26,2021,6,26,ES,40.00438,3.85601,Ignacio Ruiz-Arrondo;Sarah Delacour;Martina Ferraguti;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10827,2020-10-09,2020,10,9,ES,36.52819,-6.17958,Maria Angeles Puig;Laura Blanco-Sierra;Isis Sanpera-Calbet;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10830,2018-06-26,2018,6,26,ES,37.91196,-1.17206,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Sarah Delacour;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10832,2021-07-28,2021,7,28,IT,40.7507,14.0136,Laura Blanco-Sierra;Isis Sanpera-Calbet;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10833,2018-11-13,2018,11,13,ES,37.93773,-1.13956,Santi Escartin Peña;Sarah Delacour;Daniel Bravo-Barriga;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10834,2021-09-04,2021,9,4,ES,36.71758,-4.44416,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10837,2020-07-09,2020,7,9,ES,40.40924,0.42133,Laura Blanco-Sierra;Simone Mariani;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10840,2021-05-19,2021,5,19,IT,41.8642,12.49402,Karin Bakran-Lebl;Mihaela Kavran;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10841,2019-10-08,2019,10,8,ES,37.97575,-1.05794,Mikel Bengoa Paulis;Daniel Bravo-Barriga;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10842,2018-07-17,2018,7,17,ES,41.58282,1.62311,Mikel Bengoa Paulis;Daniel Bravo-Barriga;Roger Eritja;Ignacio Ruiz-Arrondo,CONTINENT_DERIVED_FROM_COORDINATES
10843,2018-08-04,2018,8,4,ES,39.57048,3.21761,Pedro María Alarcón-Elbal;Ignacio Ruiz-Arrondo;Daniel Bravo-Barriga;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10845,2020-07-30,2020,7,30,ES,39.56355,-0.33307,Maria Angeles Puig;Laura Blanco-Sierra;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10849,2020-08-18,2020,8,18,ES,41.39855,2.20348,Laura Blanco-Sierra;Sarah Delacour;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10850,2019-07-15,2019,7,15,ES,38.26125,-0.66916,Maria Angeles Puig;Daniel Bravo-Barriga;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10853,2021-08-30,2021,8,30,IT,46.0505,11.1475,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10856,2018-08-08,2018,8,8,ES,37.98521,-0.65936,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja;Mikel Bengoa Paulis,CONTINENT_DERIVED_FROM_COORDINATES
10859,2019-07-13,2019,7,13,ES,38.04644,-1.20931,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10860,2018-06-13,2018,6,13,ES,41.93192,2.81003,Maria Angeles Puig;Ignacio Ruiz-Arrondo;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10861,2020-06-22,2020,6,22,ES,41.74942,1.90748,Ignacio Ruiz-Arrondo;Simone Mariani;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10862,2021-06-25,2021,6,25,IT,45.47808,9.20296,Gábor Kemenesi;Ana Klobucar;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
